session,date,equity,benchmarkEquity,dailyReturn,benchmarkReturn,close,exposureBars
1,2006-09-26,100653.2955252287,100653.2955252287,0.0065329552522870316,0.0065329552522870316,1336.3499755859375,1
2,2006-09-27,100671.3714846892,100671.3714846892,0.00017958636491899327,0.00017958636491899327,1336.5899658203125,1
3,2006-09-28,100843.8562250141,100843.8562250141,0.0017133444968626677,0.0017133444968626677,1338.8800048828125,1
4,2006-09-29,100615.63574397226,100615.63574397226,-0.0022631074374288573,-0.0022631074374288573,1335.8499755859375,1
5,2006-10-02,100274.43591916111,100274.43591916111,-0.00339112129330843,-0.00339112129330843,1331.3199462890625,1
6,2006-10-03,100484.58044074246,100484.58044074246,0.0020956938790537283,0.0020956938790537283,1334.1099853515625,1
7,2006-10-04,101696.46962717557,101696.46962717557,0.012060449286025454,0.012060449286025454,1350.199951171875,1
8,2006-10-05,101923.93617704966,101923.93617704966,0.002236720219570998,0.002236720219570998,1353.219970703125,1
9,2006-10-06,101650.52579735662,101650.52579735662,-0.0026824943182934824,-0.0026824943182934824,1349.5899658203125,1
10,2006-10-09,101731.1228780436,101731.1228780436,0.0007928840510640356,0.0007928840510640356,1350.6600341796875,1
11,2006-10-10,101939.00560612176,101939.00560612176,0.0020434526052304225,0.0020434526052304225,1353.4200439453125,1
12,2006-10-11,101677.63973654734,101677.63973654734,-0.002563943683974168,-0.002563943683974168,1349.949951171875,1
13,2006-10-12,102647.75606948452,102647.75606948452,0.009541098076733645,0.009541098076733645,1362.8299560546875,1
14,2006-10-13,102857.90059106586,102857.90059106586,0.002047239312655824,0.002047239312655824,1365.6199951171875,1
15,2006-10-16,103117.00466713708,103117.00466713708,0.0025190488487738527,0.0025190488487738527,1369.06005859375,1
16,2006-10-17,102739.65292340495,102739.65292340495,-0.0036594521432252725,-0.0036594521432252725,1364.050048828125,1
17,2006-10-18,102871.4621578025,102871.4621578025,0.0012829441276758224,0.0012829441276758224,1365.800048828125,1
18,2006-10-19,102958.82623043402,102958.82623043402,0.0008492546990097605,0.0008492546990097605,1366.9599609375,1
19,2006-10-20,103082.35141626904,103082.35141626904,0.0011997532446470505,0.0011997532446470505,1368.5999755859375,1
20,2006-10-23,103716.54544256919,103716.54544256919,0.006152304614580828,0.006152304614580828,1377.02001953125,1
21,2006-10-24,103743.65938175992,103743.65938175992,0.0002614234698528062,0.0002614234698528062,1377.3800048828125,1
22,2006-10-25,104108.20348992314,104108.20348992314,0.003513892900401272,0.003513892900401272,1382.219970703125,1
23,2006-10-26,104624.89458544758,104624.89458544758,0.004963019994619788,0.004963019994619788,1389.0799560546875,1
24,2006-10-27,103740.643657089,103740.643657089,-0.008451630291836598,-0.008451630291836598,1377.3399658203125,1
25,2006-10-30,103785.08881885502,103785.08881885502,0.00042842573748558266,0.00042842573748558266,1377.9300537109375,1
26,2006-10-31,103785.83355574022,103785.83355574022,7.175759964006545e-06,7.175759964006545e-06,1377.93994140625,1
27,2006-11-01,103022.85521399598,103022.85521399598,-0.007351469035843605,-0.007351469035843605,1367.81005859375,1
28,2006-11-02,102987.4480319602,102987.4480319602,-0.0003436827873022352,-0.0003436827873022352,1367.3399658203125,1
29,2006-11-03,102758.48281403318,102758.48281403318,-0.0022232342125417803,-0.0022232342125417803,1364.300048828125,1
30,2006-11-06,103924.42817064733,103924.42817064733,0.011346463325312195,0.011346463325312195,1379.780029296875,1
31,2006-11-07,104154.90125090982,104154.90125090982,0.002217698805944357,0.002217698805944357,1382.8399658203125,1
32,2006-11-08,104371.82195871821,104371.82195871821,0.002082674028808462,0.002082674028808462,1385.719970703125,1
33,2006-11-09,103815.20928843414,103815.20928843414,-0.005332978382845743,-0.005332978382845743,1378.3299560546875,1
34,2006-11-10,104008.78571289046,104008.78571289046,0.0018646249021037065,0.0018646249021037065,1380.9000244140625,1
35,2006-11-13,104273.912044021,104273.912044021,0.0025490763045961096,0.0025490763045961096,1384.4200439453125,1
36,2006-11-14,104936.7186775648,104936.7186775648,0.006356399415263114,0.006356399415263114,1393.219970703125,1
37,2006-11-15,105189.03737312644,105189.03737312644,0.002404484328664136,0.002404484328664136,1396.5699462890625,1
38,2006-11-16,105429.31155856943,105429.31155856943,0.002284213178895156,0.002284213178895156,1399.760009765625,1
39,2006-11-17,105537.76731533237,105537.76731533237,0.0010287059183031744,0.0010287059183031744,1401.199951171875,1
40,2006-11-20,105485.04729928637,105485.04729928637,-0.0004995369656484172,-0.0004995369656484172,1400.5,1
41,2006-11-21,105659.03990194673,105659.03990194673,0.001649452762406245,0.001649452762406245,1402.81005859375,1
42,2006-11-22,105906.08107933425,105906.08107933425,0.0023380978817977294,0.0023380978817977294,1406.0899658203125,1
43,2006-11-24,105518.93742470414,105518.93742470414,-0.0036555375355651343,-0.0036555375355651343,1400.949951171875,1
